A,θ0,θ1,θ2,θ3,θ4,θ5,θ6,θ7,θ8,θ9,θ10,θ11,θ12,θ13,θ14,θ15,θ16,θ17,θ18,θ19,G,b
q0,,,,,,1,,,,,,,,,,,,,,,10,To
q1,,,,,,,,,,1,,,,,,,,,,,500,Tisp
q2,1,,,,,,,,,,,,,,,,,,,,375,To
q3,-1,1,,,,,,,,,,,,,,,,,,,105,
q4,,-1,1,,,,,,,,,,,,,,,,,,105,
q5,,,-1,1,,,,,,,,,,,,,,,,,8.1,
q6,,,,-1,1,,,,,,,,,,,,,,,,8.1,
q7,,,,,-1,1,,,,,,,,,,,,,,,120,
q8,,,,,,-1,1,,,,,,,,,,,,,,120,
q9,,,,,,,-1,1,,,,,,,,,,,,,560,
q10,,,,,,,,-1,1,,,,,,,,,,,,560,
q11,,,,,,,,,-1,1,,,,,,,,,,,120,
q12,,,,,,,,,,-1,1,,,,,,,,,,120,
q13,,,,,,,,,,,1,,,,,,,,,,375,To
q14,,,,,,1,,,,,,,,,-1,,,,,,48,
q15,,,,,,-1,,,,,,1,,,,,,,,,400,
q16,,,,,,,,,,,,-1,1,,,,,,,,0.12852,
q17,,,,,,,,,,,,,-1,1,,,,,,,0.12852,
q18,,,,,,,,,,1,,,,-1,,,,,,,400,
q19,,,,,,,,,,1,,,,,,-1,,,,,120,
q20,,,,,,,,,,,,,,,1,,,,,,150,To
q21,,,,,,,,,,,,,,,,1,-1,,,,8.1,
q22,,,,,,,,,,,,,,,,,1,-1,,,8.1,
q23,,,,,,,,,,,,,,,,,,1,-1,,105,
q24,,,,,,,,,,,,,,,,,,,1,-1,105,
q25,,,,,,,,,,,,,,,,,,,,1,750,To
q26,,,,,,,,,,1,,,,,,,,,,,25,
C,,18547200,,88200,,36000,,2484000,,90000,1089000,,,,435600,,126000,,26496000,,,
f,Φo,,,,Φi,Qa,Φi,,Φi,Qa,Φa,,,,Φa,Φi,,,,Φo,,
y,,,,,,1,,,,1,,,,,,,,,,,,